text,label
"Quick question, I bought $300 of Dogecoin but the order shows a different price than I confirmed. Thanks.",transaction-dispute
"Quick question, How long do Litecoin withdrawals usually take to process?",general
"Hey, I see a Android app I don't recognize on my account and money was moved out. This is time sensitive.",fraud-report
"Quick question, I cancelled my buy order but $15,000 was still taken from my account.",transaction-dispute
Urgent: I keep getting an 'account disabled' message when I try to open my dashboard. This is time sensitive.,account-access
I changed my phone number and now I can't get the SMS code to sign in. Appreciate any help.,account-access
"Hello team, How long do Polygon withdrawals usually take to process? Please advise.",general
I cancelled my buy order but 2 ETH was still taken from my account. Appreciate any help.,transaction-dispute
"Hi, Can you explain how to move XRP to an external wallet? Please advise.",general
How do I enable price alerts for USDC? Please advise.,general
"Hey, A transaction has been stuck in pending for two days and the funds already left my balance. Appreciate any help.",transaction-dispute
"Please help. My 2FA isn't working, I got a phone and can't receive the verification code.",account-access
"Quick question, An automatic recurring buy executed that I had already turned off, I want it undone. Appreciate any help.",transaction-dispute
"Hey, My 2FA isn't working, I got a laptop and can't receive the verification code. Let me know.",account-access
"Hello team, Where can I download my tax documents for last year? This is time sensitive.",general
"Hi, What's the minimum amount I can buy of Cardano?",general
"Hello team, Can I set up recurring purchases of SOL every week? Please advise.",general
"Hello team, Can I convert SOL directly into another coin without cashing out? This is time sensitive.",general
"Please help. I'm locked out after too many login attempts, how do I get back in?",account-access
Please help. A transaction has been stuck in pending for two days and the funds already left my balance. Appreciate any help.,transaction-dispute
"Hi, What are the fees for buying and selling ETH?",general
I was charged twice for the same Litecoin purchase and want a refund for the duplicate. This is time sensitive.,transaction-dispute
"Hi, The password reset email never arrives, I've checked spam. I need to access my account.",account-access
"I'm locked out after too many login attempts, how do I get back in? This is time sensitive.",account-access
"Quick question, How do I update the payment method on file for my account? Let me know.",general
"Hi, Do you support BTC? I don't see it listed anywhere. Thanks.",general
"Hey, Which countries is your service available in?",general
Please help. The conversion rate applied to my Litecoin transaction looks wrong and I want it fixed.,transaction-dispute
"Quick question, Can I convert BTC directly into another coin without cashing out? Let me know.",general
An attacker accessed my account and transferred $50 to a wallet I don't know.,fraud-report
"Quick question, My withdrawal of $15,000 shows completed but I never received it, please reverse it.",transaction-dispute
The transaction history shows a USDT buy I confirmed but the totals don't add up.,transaction-dispute
"Please help. Urgent, my crypto was stolen after a scammer convinced me to share a code.",fraud-report
"Quick question, I clicked a fake link and now unauthorized transactions are appearing, please help.",fraud-report
Urgent: Can you explain how to move USDT to an external wallet? Please advise.,general
Where can I learn more about how transaction fees are calculated?,general
"Hi, I clicked a fake link and now unauthorized transactions are appearing, please help. Please advise.",fraud-report
"Quick question, Which countries is your service available in? This is time sensitive.",general
Urgent: What documents do I need to raise my account limits? Appreciate any help.,general
"Hey, I need help regaining access, my login has been blocked for security reasons. This is time sensitive.",account-access
"Hi, I changed my phone number and now I can't get the SMS code to sign in. This is time sensitive.",account-access
"Quick question, I bought 0.5 BTC of Litecoin but the order shows a different price than I confirmed. Let me know.",transaction-dispute
"Verification keeps failing during login, it never sends me the code. Thanks.",account-access
"Hi, Someone withdrew 0.5 BTC of XRP from my account that I never authorized.",fraud-report
"Hello team, I need help regaining access, my login has been blocked for security reasons. Please advise.",account-access
Urgent: How do I enable price alerts for Cardano? This is time sensitive.,general
"Hi, I see a work computer I don't recognize on my account and money was moved out.",fraud-report
"I was billed a network fee twice on a single Polygon transfer, please refund one.",transaction-dispute
"Quick question, Where can I download my tax documents for last year? Thanks.",general
Urgent: Can I convert XRP directly into another coin without cashing out? Please advise.,general
"Hey, Verification keeps failing during login, it never sends me the code. Appreciate any help.",account-access
"Hi, What documents do I need to raise my account limits? Please advise.",general
"Hi, Someone withdrew $300 of USDT from my account that I never authorized. Thanks.",fraud-report
Please help. Where can I download my tax documents for last year?,general
"Hi, Is there an app for the phone? How do I get started? Thanks.",general
Please help. How do I add a beneficiary or change my account details?,general
Please help. Can you reset my two-factor authentication? I lost my old desktop browser. Let me know.,account-access
Do you offer interest or yield on USDC holdings? Appreciate any help.,general
"Hello team, Someone withdrew 1.2 SOL of Bitcoin from my account that I never authorized. Appreciate any help.",fraud-report
"The fee on my last Cardano trade is much higher than what was advertised, I dispute it.",transaction-dispute
How do I enable price alerts for USDT? Appreciate any help.,general
"Hello team, I think my account was hacked, there are trades on it I never made. Let me know.",fraud-report
Please help. How do I add a beneficiary or change my account details? This is time sensitive.,general
Please help. Can I convert SOL directly into another coin without cashing out?,general
"Quick question, I lost access to my authenticator app and can't complete two-factor authentication. Thanks.",account-access
Urgent: What documents do I need to raise my account limits? This is time sensitive.,general
"Quick question, I see a laptop I don't recognize on my account and money was moved out. Appreciate any help.",fraud-report
"The app won't let me sign in, it just spins on the login screen. Appreciate any help.",account-access
"Quick question, Can you explain how to move XRP to an external wallet? This is time sensitive.",general
Please help. Where can I learn more about how transaction fees are calculated? Please advise.,general
Can you reset my two-factor authentication? I lost my old Android app. Please advise.,account-access
The transaction history shows a USDC buy I confirmed but the totals don't add up. This is time sensitive.,transaction-dispute
"Hello team, Where can I learn more about how transaction fees are calculated? Please advise.",general
Is there an app for the laptop? How do I get started? Thanks.,general
Is there an app for the phone? How do I get started?,general
"My withdrawal of $25 shows completed but I never received it, please reverse it. This is time sensitive.",transaction-dispute
What are the fees for buying and selling SOL?,general
"My USDT order filled at the wrong amount, I asked for $120 not the amount charged. Appreciate any help.",transaction-dispute
What are the fees for buying and selling Polygon? Thanks.,general
I was logged out everywhere and the app won't accept my correct password. Let me know.,account-access
Please help. There's a suspicious SOL transfer to an unknown wallet that I did not make. Please advise.,fraud-report
Do you support Bitcoin? I don't see it listed anywhere. Appreciate any help.,general
"Hi, What's the minimum amount I can buy of USDC?",general
"Quick question, Do you support Cardano? I don't see it listed anywhere. Appreciate any help.",general
Can you reset my two-factor authentication? I lost my old laptop.,account-access
How do I add a beneficiary or change my account details?,general
"Quick question, What's the minimum amount I can buy of XRP? Please advise.",general
Urgent: What's the minimum amount I can buy of Cardano? Please advise.,general
"Quick question, I'm locked out after too many login attempts, how do I get back in?",account-access
"Quick question, I keep getting an 'account disabled' message when I try to open my dashboard. Please advise.",account-access
"There was an unauthorized login from a country I've never been to, please lock my account. Let me know.",fraud-report
Please help. Is there an app for the new iPhone? How do I get started? Please advise.,general
"Hi, I requested a refund three days ago for a failed SOL deposit and nothing has happened. This is time sensitive.",transaction-dispute
"Quick question, My 2FA isn't working, I got a work computer and can't receive the verification code.",account-access
"Hello team, What's the minimum amount I can buy of Litecoin? This is time sensitive.",general
"I was billed a network fee twice on a single BTC transfer, please refund one. Please advise.",transaction-dispute
"Please help. My withdrawal of $10,000 shows completed but I never received it, please reverse it.",transaction-dispute
"Quick question, An attacker accessed my account and transferred $10,000 to a wallet I don't know. Thanks.",fraud-report
"Hi, How does staking work and what rewards can I expect on Polygon?",general
"Someone withdrew $10,000 of Bitcoin from my account that I never authorized. This is time sensitive.",fraud-report
Please help. I see a laptop I don't recognize on my account and money was moved out. This is time sensitive.,fraud-report
Please help. I changed my phone number and now I can't get the SMS code to sign in. Appreciate any help.,account-access
"I sold Ethereum and received less than the amount I was quoted, please correct it. Thanks.",transaction-dispute
"Quick question, Do you offer interest or yield on USDC holdings?",general
"Hello team, I can't log into my account, it keeps saying my password is wrong even after I reset it.",account-access
Please help. I got a phishing email pretending to be support and I may have entered my credentials.,fraud-report
"Hey, The conversion rate applied to my BTC transaction looks wrong and I want it fixed. Appreciate any help.",transaction-dispute
How does staking work and what rewards can I expect on USDT?,general
"Urgent: An automatic recurring buy executed that I had already turned off, I want it undone. Please advise.",transaction-dispute
"Quick question, I need help regaining access, my login has been blocked for security reasons. This is time sensitive.",account-access
"Hey, The app won't let me sign in, it just spins on the login screen.",account-access
"Quick question, My 2FA isn't working, I got a tablet and can't receive the verification code.",account-access
"Please help. I can't log into my account, it keeps saying my password is wrong even after I reset it.",account-access
Where can I download my tax documents for last year? Please advise.,general
Urgent: I was charged twice for the same Bitcoin purchase and want a refund for the duplicate. Appreciate any help.,transaction-dispute
"I can't log into my account, it keeps saying my password is wrong even after I reset it. Thanks.",account-access
"Hello team, How long do USDT withdrawals usually take to process? Thanks.",general
"Quick question, What's the minimum amount I can buy of Bitcoin?",general
"Hey, The password reset email never arrives, I've checked spam. I need to access my account.",account-access
"Hello team, I was logged out everywhere and the app won't accept my correct password. This is time sensitive.",account-access
I lost access to my authenticator app and can't complete two-factor authentication. Let me know.,account-access
"Hey, The fee on my last Litecoin trade is much higher than what was advertised, I dispute it.",transaction-dispute
Please help. An attacker accessed my account and transferred 1.2 SOL to a wallet I don't know. Thanks.,fraud-report
"I sold Dogecoin and received less than the amount I was quoted, please correct it. This is time sensitive.",transaction-dispute
"Quick question, What documents do I need to raise my account limits? Thanks.",general
Urgent: Face ID stopped working on the desktop browser and now I'm stuck at the login prompt. Thanks.,account-access
Can you reset my two-factor authentication? I lost my old phone. This is time sensitive.,account-access
"I clicked a fake link and now unauthorized transactions are appearing, please help.",fraud-report
"Quick question, Face ID stopped working on the Android app and now I'm stuck at the login prompt.",account-access
"Hey, How do I enable price alerts for ETH? Appreciate any help.",general
Please help. How does staking work and what rewards can I expect on BTC? This is time sensitive.,general
"Hi, Is there an app for the laptop? How do I get started? Let me know.",general
"Hey, How do I enable price alerts for USDT? Thanks.",general
"Quick question, Can you explain how to move Cardano to an external wallet? This is time sensitive.",general
"Hey, There's a suspicious XRP transfer to an unknown wallet that I did not make. This is time sensitive.",fraud-report
"My 2FA isn't working, I got a laptop and can't receive the verification code.",account-access
Urgent: Which countries is your service available in?,general
"Hello team, Which countries is your service available in? Please advise.",general
"I sold Polygon and received less than the amount I was quoted, please correct it.",transaction-dispute
"Quick question, Where can I learn more about how transaction fees are calculated? Please advise.",general
"I think my account was hacked, there are trades on it I never made. Thanks.",fraud-report
"Hey, Can you explain how to move Ethereum to an external wallet? Let me know.",general
Urgent: What are the fees for buying and selling USDT? Let me know.,general
I keep getting an 'account disabled' message when I try to open my dashboard.,account-access
"Hello team, Report fraud: my card was used to buy Litecoin without my permission. Please advise.",fraud-report
"Urgent: Someone changed my email and drained my Bitcoin balance, this is theft.",fraud-report
"I was billed a network fee twice on a single USDT transfer, please refund one. This is time sensitive.",transaction-dispute
Do you support SOL? I don't see it listed anywhere.,general
"Quick question, I requested a refund three days ago for a failed Ethereum deposit and nothing has happened. Please advise.",transaction-dispute
"There was an unauthorized login from a country I've never been to, please lock my account. Thanks.",fraud-report
"I bought $10,000 of Bitcoin but the order shows a different price than I confirmed.",transaction-dispute
Urgent: What's the minimum amount I can buy of Bitcoin? Let me know.,general
"Quick question, There's a suspicious USDC transfer to an unknown wallet that I did not make. Appreciate any help.",fraud-report
"Hi, Where can I learn more about how transaction fees are calculated? Appreciate any help.",general
How do I enable price alerts for Ethereum? Appreciate any help.,general
A transaction has been stuck in pending for two days and the funds already left my balance. Please advise.,transaction-dispute
Please help. Which countries is your service available in?,general
"Quick question, How do I recover my account? I no longer have the email I signed up with. Let me know.",account-access
I requested a refund three days ago for a failed Ethereum deposit and nothing has happened. Please advise.,transaction-dispute
"Hey, I was charged twice for the same XRP purchase and want a refund for the duplicate. Appreciate any help.",transaction-dispute
"Hello team, Face ID stopped working on the phone and now I'm stuck at the login prompt. This is time sensitive.",account-access
"Hi, I got a phishing email pretending to be support and I may have entered my credentials. Let me know.",fraud-report
"Quick question, I was billed a network fee twice on a single XRP transfer, please refund one. Let me know.",transaction-dispute
"Hello team, Which countries is your service available in?",general
"Hi, What's the difference between a market order and a limit order? This is time sensitive.",general
"Quick question, Can I set up recurring purchases of BTC every week?",general
"My 2FA isn't working, I got a Android app and can't receive the verification code.",account-access
"Hey, Where can I download my tax documents for last year?",general
"Hello team, I changed my phone number and now I can't get the SMS code to sign in. This is time sensitive.",account-access
"Hi, How long do Bitcoin withdrawals usually take to process?",general
"Hello team, I can't log into my account, it keeps saying my password is wrong even after I reset it. Please advise.",account-access
"Hi, Can I convert Dogecoin directly into another coin without cashing out?",general
"Hello team, Where can I learn more about how transaction fees are calculated?",general
"Hello team, What are the fees for buying and selling Polygon? Please advise.",general
"Quick question, I was billed a network fee twice on a single Litecoin transfer, please refund one. Appreciate any help.",transaction-dispute
Urgent: What's the difference between a market order and a limit order? Please advise.,general
Please help. I was logged out everywhere and the app won't accept my correct password. Appreciate any help.,account-access
Please help. How does staking work and what rewards can I expect on Dogecoin? This is time sensitive.,general
"Please help. An automatic recurring buy executed that I had already turned off, I want it undone. This is time sensitive.",transaction-dispute
My account is frozen and I need to verify my identity before I can log in. Let me know.,account-access
"Hello team, Report fraud: my card was used to buy Ethereum without my permission. This is time sensitive.",fraud-report
Urgent: Can you explain how to move Cardano to an external wallet?,general
I was charged twice for the same USDC purchase and want a refund for the duplicate.,transaction-dispute
Can you reset my two-factor authentication? I lost my old phone. Please advise.,account-access
Please help. I bought 0.5 BTC of Dogecoin but the order shows a different price than I confirmed. Thanks.,transaction-dispute
Is there an app for the work computer? How do I get started? Thanks.,general
Urgent: What are the fees for buying and selling ETH?,general
"Hello team, I sold USDC and received less than the amount I was quoted, please correct it. Let me know.",transaction-dispute
"Hello team, What's the minimum amount I can buy of Polygon? Let me know.",general
Please help. I requested a refund three days ago for a failed USDC deposit and nothing has happened.,transaction-dispute
"Hi, My withdrawal of $25 shows completed but I never received it, please reverse it. This is time sensitive.",transaction-dispute
"Please help. Verification keeps failing during login, it never sends me the code. This is time sensitive.",account-access
"Hello team, I was scammed into sending Bitcoin to someone impersonating your support team.",fraud-report
"Hi, My funds are gone, 1.2 SOL disappeared overnight and I believe this is fraud. This is time sensitive.",fraud-report
"Quick question, A transaction has been stuck in pending for two days and the funds already left my balance. Appreciate any help.",transaction-dispute
"Please help. The password reset email never arrives, I've checked spam. I need to access my account. Appreciate any help.",account-access
Please help. What documents do I need to raise my account limits? This is time sensitive.,general
What's the minimum amount I can buy of Ethereum? This is time sensitive.,general
Urgent: The transaction history shows a Cardano buy I confirmed but the totals don't add up.,transaction-dispute
Please help. Which countries is your service available in? Appreciate any help.,general
